,Image Name,C1,C2,C3,C4
0,1.JPEG,0.0,0.0,0.0,0.0
1,10.JPEG,0.0,0.0,0.0,0.0
2,11.JPEG,0.0,0.0,0.0,0.0
3,12.JPEG,0.0,0.0,0.0,0.0
4,13.JPEG,178.9510726928711,127.90698051452637,203.0556869506836,168.17896842956543
5,14.JPEG,0.0,0.0,0.0,0.0
6,15.JPEG,0.0,0.0,0.0,0.0
7,16.JPEG,175.78529357910156,100.3408670425415,201.54937744140625,142.75790691375732
8,17.JPEG,0.0,0.0,0.0,0.0
9,18.JPEG,0.0,0.0,0.0,0.0
10,19.JPEG,0.0,0.0,0.0,0.0
11,2.JPEG,0.0,0.0,0.0,0.0
12,20.JPEG,0.0,0.0,0.0,0.0
13,21.JPEG,0.0,0.0,0.0,0.0
14,22.JPEG,175.20292282104492,97.07435846328735,198.42958450317383,126.80428504943848
15,23.JPEG,0.0,0.0,0.0,0.0
16,24.JPEG,168.1517791748047,102.9481029510498,193.77216339111328,138.9917278289795
17,25.JPEG,151.7137908935547,82.54418849945068,202.2388458251953,167.71795749664307
18,26.JPEG,0.0,0.0,0.0,0.0
19,27.JPEG,0.0,0.0,0.0,0.0
20,28.JPEG,156.8085479736328,105.80283164978027,173.9382553100586,142.15559005737305
21,29.JPEG,158.2015609741211,107.99456119537354,176.60663604736328,138.87464046478271
22,3.JPEG,0.0,0.0,0.0,0.0
23,30.JPEG,0.0,0.0,0.0,0.0
24,31.JPEG,0.0,0.0,0.0,0.0
25,32.JPEG,152.94548988342285,106.77972078323364,175.05380630493164,146.84731006622314
26,33.JPEG,157.40336418151855,105.6358551979065,180.72402954101562,141.60089492797852
27,34.JPEG,154.61265563964844,103.89249086380005,186.15100860595703,146.22965812683105
28,35.JPEG,0.0,0.0,0.0,0.0
29,36.JPEG,0.0,0.0,0.0,0.0
30,37.JPEG,0.0,0.0,0.0,0.0
31,38.JPEG,0.0,0.0,0.0,0.0
32,39.JPEG,0.0,0.0,0.0,0.0
33,4.JPEG,186.78329467773438,122.28004932403564,217.27005004882812,160.8330202102661
34,40.JPEG,178.62051010131836,132.81549453735352,205.25068283081055,166.536226272583
35,41.JPEG,0.0,0.0,0.0,0.0
36,42.JPEG,178.27346801757812,145.72637557983398,205.57514190673828,187.02392578125
37,43.JPEG,180.4297637939453,137.70668506622314,207.5271224975586,176.75398349761963
38,44.JPEG,178.88534545898438,135.07186889648438,204.9268341064453,172.11158752441406
39,45.JPEG,189.39800262451172,136.09271049499512,212.22137451171875,175.58598518371582
40,46.JPEG,0.0,0.0,0.0,0.0
41,47.JPEG,0.0,0.0,0.0,0.0
42,48.jpg,0.0,0.0,0.0,0.0
43,49.jpg,143.66838455200195,119.94322299957275,181.48286819458008,186.0001516342163
44,5.JPEG,176.92771911621094,129.98127937316895,214.4342041015625,191.544828414917
45,50.jpg,182.4101448059082,116.36941194534302,217.45550155639648,172.46224880218506
46,51.jpg,175.65519332885742,121.89139366149902,211.02792739868164,176.83130264282227
47,6.JPEG,0.0,0.0,0.0,0.0
48,7.JPEG,189.06116485595703,128.85847091674805,214.20181274414062,166.92612648010254
49,8.JPEG,189.27892684936523,128.60262393951416,215.0233268737793,166.8250036239624
50,9.JPEG,0.0,0.0,0.0,0.0
51,1.JPEG,0.0,0.0,0.0,0.0
52,10.JPEG,0.0,0.0,0.0,0.0
53,11.JPEG,0.0,0.0,0.0,0.0
54,12.JPEG,0.0,0.0,0.0,0.0
55,13.JPEG,178.9510726928711,127.90698051452637,203.0556869506836,168.17896842956543
56,14.JPEG,0.0,0.0,0.0,0.0
57,15.JPEG,0.0,0.0,0.0,0.0
58,16.JPEG,175.78529357910156,100.3408670425415,201.54937744140625,142.75790691375732
59,17.JPEG,0.0,0.0,0.0,0.0
60,18.JPEG,0.0,0.0,0.0,0.0
61,19.JPEG,0.0,0.0,0.0,0.0
62,2.JPEG,0.0,0.0,0.0,0.0
63,20.JPEG,0.0,0.0,0.0,0.0
64,21.JPEG,0.0,0.0,0.0,0.0
65,22.JPEG,175.20292282104492,97.07435846328735,198.42958450317383,126.80428504943848
66,23.JPEG,0.0,0.0,0.0,0.0
67,24.JPEG,168.1517791748047,102.9481029510498,193.77216339111328,138.9917278289795
68,25.JPEG,151.7137908935547,82.54418849945068,202.2388458251953,167.71795749664307
69,26.JPEG,0.0,0.0,0.0,0.0
70,27.JPEG,0.0,0.0,0.0,0.0
71,28.JPEG,156.8085479736328,105.80283164978027,173.9382553100586,142.15559005737305
72,29.JPEG,158.2015609741211,107.99456119537354,176.60663604736328,138.87464046478271
73,3.JPEG,0.0,0.0,0.0,0.0
74,30.JPEG,0.0,0.0,0.0,0.0
75,31.JPEG,0.0,0.0,0.0,0.0
76,32.JPEG,152.94548988342285,106.77972078323364,175.05380630493164,146.84731006622314
77,33.JPEG,157.40336418151855,105.6358551979065,180.72402954101562,141.60089492797852
78,34.JPEG,154.61265563964844,103.89249086380005,186.15100860595703,146.22965812683105
79,35.JPEG,0.0,0.0,0.0,0.0
80,36.JPEG,0.0,0.0,0.0,0.0
81,37.JPEG,0.0,0.0,0.0,0.0
82,38.JPEG,0.0,0.0,0.0,0.0
83,39.JPEG,0.0,0.0,0.0,0.0
84,4.JPEG,186.78329467773438,122.28004932403564,217.27005004882812,160.8330202102661
85,40.JPEG,178.62051010131836,132.81549453735352,205.25068283081055,166.536226272583
86,41.JPEG,0.0,0.0,0.0,0.0
87,42.JPEG,178.27346801757812,145.72637557983398,205.57514190673828,187.02392578125
88,43.JPEG,180.4297637939453,137.70668506622314,207.5271224975586,176.75398349761963
89,44.JPEG,178.88534545898438,135.07186889648438,204.9268341064453,172.11158752441406
90,45.JPEG,189.39800262451172,136.09271049499512,212.22137451171875,175.58598518371582
91,46.JPEG,0.0,0.0,0.0,0.0
