,Image Name,C1,C2,C3,C4
0,1.JPEG,0.0,0.0,0.0,0.0
1,10.JPEG,0.0,0.0,0.0,0.0
2,11.JPEG,0.0,0.0,0.0,0.0
3,12.JPEG,0.0,0.0,0.0,0.0
4,13.JPEG,0.0,0.0,0.0,0.0
5,14.JPEG,0.0,0.0,0.0,0.0
6,15.JPEG,0.0,0.0,0.0,0.0
7,16.JPEG,0.0,0.0,0.0,0.0
8,17.JPEG,0.0,0.0,0.0,0.0
9,18.JPEG,0.0,0.0,0.0,0.0
10,19.JPEG,0.0,0.0,0.0,0.0
11,2.JPEG,0.0,0.0,0.0,0.0
12,20.JPEG,0.0,0.0,0.0,0.0
13,21.JPEG,0.0,0.0,0.0,0.0
14,22.JPEG,176.70612621307373,98.82603526115417,201.93231797218323,127.28962755203247
15,23.JPEG,0.0,0.0,0.0,0.0
16,24.JPEG,0.0,0.0,0.0,0.0
17,25.JPEG,0.0,0.0,0.0,0.0
18,26.JPEG,0.0,0.0,0.0,0.0
19,27.JPEG,0.0,0.0,0.0,0.0
20,28.JPEG,0.0,0.0,0.0,0.0
21,29.JPEG,156.98115181922913,106.73876658827066,178.80727937817574,134.9536403119564
22,3.JPEG,0.0,0.0,0.0,0.0
23,30.JPEG,0.0,0.0,0.0,0.0
24,31.JPEG,0.0,0.0,0.0,0.0
25,32.JPEG,0.0,0.0,0.0,0.0
26,33.JPEG,155.16026355326176,108.21654269099236,182.1299802735448,140.7973922714591
27,34.JPEG,0.0,0.0,0.0,0.0
28,35.JPEG,0.0,0.0,0.0,0.0
29,36.JPEG,0.0,0.0,0.0,0.0
30,37.JPEG,0.0,0.0,0.0,0.0
31,38.JPEG,0.0,0.0,0.0,0.0
32,39.JPEG,0.0,0.0,0.0,0.0
33,4.JPEG,189.43419033288956,127.54837114550173,214.49516555294394,158.55766859650612
34,40.JPEG,0.0,0.0,0.0,0.0
35,41.JPEG,0.0,0.0,0.0,0.0
36,42.JPEG,0.0,0.0,0.0,0.0
37,43.JPEG,179.4375385567546,141.05015110969543,207.10860484838486,175.32871961593628
38,44.JPEG,0.0,0.0,0.0,0.0
39,45.JPEG,0.0,0.0,0.0,0.0
40,46.JPEG,0.0,0.0,0.0,0.0
41,47.JPEG,0.0,0.0,0.0,0.0
42,48.jpg,137.95192900300026,74.33966971933842,211.8001549988985,168.99350129254162
43,49.jpg,0.0,0.0,0.0,0.0
44,5.JPEG,0.0,0.0,0.0,0.0
45,50.jpg,0.0,0.0,0.0,0.0
46,51.jpg,0.0,0.0,0.0,0.0
47,6.JPEG,0.0,0.0,0.0,0.0
48,7.JPEG,187.6965815424919,133.8123084679246,211.59256708994508,162.43836888112128
49,8.JPEG,187.83955645561218,131.269921541214,214.11047410964966,162.8251758813858
50,9.JPEG,0.0,0.0,0.0,0.0
